VALOR,;VIGENCIADESDE;VIGENCIAHASTA
$4,034.74,;9/08/25;11/08/25
$4,049.35,;7/08/25;8/08/25
$4,093.12,;6/08/25;6/08/25
$4,097.38,;5/08/25;5/08/25
$4,129.42,;2/08/25;4/08/25
$4,186.71,;1/08/25;1/08/25
$4,179.69,;31/07/25;31/07/25
$4,154.79,;30/07/25;30/07/25
$4,170.59,;29/07/25;29/07/25
$4,110.48,;26/07/25;28/07/25
$4,063.31,;25/07/25;25/07/25
$4,052.86,;24/07/25;24/07/25
$4,061.36,;23/07/25;23/07/25
$4,026.27,;22/07/25;22/07/25
$4,000.61,;19/07/25;21/07/25
$4,016.44,;18/07/25;18/07/25
$4,031.86,;17/07/25;17/07/25
$4,015.04,;16/07/25;16/07/25
$4,011.79,;15/07/25;15/07/25
$4,003.90,;12/07/25;14/07/25
$4,013.50,;11/07/25;11/07/25
$4,026.09,;10/07/25;10/07/25
$4,054.13,;9/07/25;9/07/25
$4,022.29,;8/07/25;8/07/25
$3,974.37,;4/07/25;7/07/25
$4,006.46,;3/07/25;3/07/25
$4,047.71,;2/07/25;2/07/25
$4,069.67,;28/06/25;1/07/25
$4,042.87,;27/06/25;27/06/25
$4,067.64,;26/06/25;26/06/25
$4,081.15,;25/06/25;25/06/25
$4,080.06,;21/06/25;24/06/25
$4,076.32,;19/06/25;20/06/25
$4,098.83,;18/06/25;18/06/25
$4,096.44,;17/06/25;17/06/25
$4,147.34,;14/06/25;16/06/25
$4,169.13,;13/06/25;13/06/25
$4,190.61,;12/06/25;12/06/25
$4,190.90,;11/06/25;11/06/25
$4,138.53,;10/06/25;10/06/25
$4,138.72,;7/06/25;9/06/25
$4,097.66,;6/06/25;6/06/25
$4,107.85,;5/06/25;5/06/25
$4,136.71,;4/06/25;4/06/25
$4,148.72,;31/05/25;3/06/25
$4,106.79,;30/05/25;30/05/25
$4,126.44,;29/05/25;29/05/25
$4,128.15,;28/05/25;28/05/25
$4,165.41,;24/05/25;27/05/25
$4,176.54,;23/05/25;23/05/25
$4,169.47,;22/05/25;22/05/25
$4,172.76,;21/05/25;21/05/25
$4,168.03,;20/05/25;20/05/25
$4,194.28,;17/05/25;19/05/25
$4,196.66,;16/05/25;16/05/25
$4,194.18,;15/05/25;15/05/25
$4,204.63,;14/05/25;14/05/25
$4,218.60,;13/05/25;13/05/25
$4,239.23,;10/05/25;12/05/25
$4,260.22,;9/05/25;9/05/25
$4,306.79,;8/05/25;8/05/25
$4,305.02,;7/05/25;7/05/25
$4,283.62,;6/05/25;6/05/25
$4,243.80,;3/05/25;5/05/25
$4,222.25,;1/05/25;2/05/25
$4,198.83,;30/04/25;30/04/25
$4,227.32,;29/04/25;29/04/25
$4,239.62,;26/04/25;28/04/25
$4,274.57,;25/04/25;25/04/25
$4,298.31,;24/04/25;24/04/25
$4,283.22,;23/04/25;23/04/25
$4,272.83,;22/04/25;22/04/25
$4,306.54,;17/04/25;21/04/25
$4,329.90,;16/04/25;16/04/25
$4,286.17,;15/04/25;15/04/25
$4,338.36,;12/04/25;14/04/25
$4,351.55,;11/04/25;11/04/25
$4,416.69,;10/04/25;10/04/25
$4,387.98,;9/04/25;9/04/25
$4,374.53,;8/04/25;8/04/25
$4,274.03,;5/04/25;7/04/25
$4,130.01,;4/04/25;4/04/25
$4,146.07,;3/04/25;3/04/25
$4,149.24,;2/04/25;2/04/25
$4,191.79,;1/04/25;1/04/25
$4,192.57,;29/03/25;31/03/25
$4,152.59,;28/03/25;28/03/25
$4,131.42,;27/03/25;27/03/25
$4,107.14,;26/03/25;26/03/25
$4,168.82,;22/03/25;25/03/25
