VALOR,;VIGENCIADESDE;VIGENCIAHASTA
$2,863.12,;25/05/18;25/05/18
$2,863.24,;24/05/18;24/05/18
$2,851.42,;23/05/18;23/05/18
$2,897.37,;22/05/18;22/05/18
$2,925.67,;19/05/18;21/05/18
$2,886.23,;18/05/18;18/05/18
$2,865.37,;17/05/18;17/05/18
$2,889.87,;16/05/18;16/05/18
$2,824.05,;12/05/18;15/05/18
$2,822.37,;11/05/18;11/05/18
$2,859.51,;10/05/18;10/05/18
$2,866.00,;9/05/18;9/05/18
$2,817.20,;8/05/18;8/05/18
$2,843.41,;5/05/18;7/05/18
$2,857.85,;4/05/18;4/05/18
$2,831.99,;3/05/18;3/05/18
$2,809.92,;1/05/18;2/05/18
$2,806.28,;28/04/18;30/04/18
$2,812.83,;27/04/18;27/04/18
$2,820.29,;26/04/18;26/04/18
$2,785.22,;25/04/18;25/04/18
$2,799.45,;24/04/18;24/04/18
$2,757.96,;21/04/18;23/04/18
$2,724.47,;20/04/18;20/04/18
$2,705.64,;19/04/18;19/04/18
$2,725.66,;18/04/18;18/04/18
$2,726.47,;17/04/18;17/04/18
$2,705.34,;14/04/18;16/04/18
$2,710.03,;13/04/18;13/04/18
$2,733.24,;12/04/18;12/04/18
$2,767.82,;11/04/18;11/04/18
$2,781.95,;10/04/18;10/04/18
$2,791.88,;7/04/18;9/04/18
$2,787.36,;6/04/18;6/04/18
$2,791.57,;5/04/18;5/04/18
$2,778.27,;4/04/18;4/04/18
$2,792.96,;3/04/18;3/04/18
$2,780.47,;29/03/18;2/04/18
$2,780.04,;28/03/18;28/03/18
$2,816.33,;27/03/18;27/03/18
$2,849.01,;24/03/18;26/03/18
$2,857.88,;23/03/18;23/03/18
$2,850.69,;22/03/18;22/03/18
$2,866.92,;21/03/18;21/03/18
$2,852.48,;17/03/18;20/03/18
$2,850.04,;16/03/18;16/03/18
$2,845.76,;15/03/18;15/03/18
$2,848.38,;14/03/18;14/03/18
$2,851.84,;13/03/18;13/03/18
$2,866.93,;10/03/18;12/03/18
$2,871.36,;9/03/18;9/03/18
$2,858.88,;8/03/18;8/03/18
$2,845.05,;7/03/18;7/03/18
$2,859.09,;6/03/18;6/03/18
$2,879.15,;3/03/18;5/03/18
$2,879.05,;2/03/18;2/03/18
$2,867.94,;1/03/18;1/03/18
$2,855.93,;28/02/18;28/02/18
$2,849.91,;27/02/18;27/02/18
$2,849.59,;24/02/18;26/02/18
$2,877.04,;23/02/18;23/02/18
$2,877.94,;22/02/18;22/02/18
$2,862.01,;21/02/18;21/02/18
$2,853.16,;17/02/18;20/02/18
$2,851.74,;16/02/18;16/02/18
$2,895.79,;15/02/18;15/02/18
$2,904.71,;14/02/18;14/02/18
$2,904.29,;13/02/18;13/02/18
$2,908.70,;10/02/18;12/02/18
$2,862.78,;9/02/18;9/02/18
$2,830.89,;8/02/18;8/02/18
$2,844.83,;7/02/18;7/02/18
$2,843.60,;6/02/18;6/02/18
$2,832.13,;3/02/18;5/02/18
$2,806.67,;2/02/18;2/02/18
$2,835.05,;1/02/18;1/02/18
$2,844.14,;31/01/18;31/01/18
$2,842.67,;30/01/18;30/01/18
$2,805.12,;27/01/18;29/01/18
$2,783.13,;26/01/18;26/01/18
$2,820.53,;25/01/18;25/01/18
$2,858.50,;24/01/18;24/01/18
$2,854.20,;23/01/18;23/01/18
$2,851.75,;20/01/18;22/01/18
$2,836.85,;19/01/18;19/01/18
$2,851.13,;18/01/18;18/01/18
$2,868.03,;17/01/18;17/01/18
$2,855.86,;13/01/18;16/01/18
$2,865.79,;12/01/18;12/01/18
$2,895.69,;11/01/18;11/01/18
$2,914.37,;10/01/18;10/01/18
$2,898.32,;6/01/18;9/01/18
$2,885.76,;5/01/18;5/01/18
$2,908.68,;4/01/18;4/01/18
$2,940.94,;3/01/18;3/01/18
$2,984.00,;29/12/17;2/01/18
$2,971.63,;28/12/17;28/12/17
$2,962.26,;27/12/17;27/12/17
$2,962.14,;23/12/17;26/12/17
$2,963.58,;22/12/17;22/12/17
$2,965.77,;21/12/17;21/12/17
$2,972.05,;20/12/17;20/12/17
$2,975.59,;19/12/17;19/12/17
$2,996.61,;16/12/17;18/12/17
$2,999.07,;15/12/17;15/12/17
$3,015.41,;14/12/17;14/12/17
$3,029.75,;13/12/17;13/12/17
$3,013.99,;12/12/17;12/12/17
$3,016.18,;8/12/17;11/12/17
$3,007.07,;7/12/17;7/12/17
$2,996.53,;6/12/17;6/12/17
$2,993.49,;5/12/17;5/12/17
$3,005.76,;2/12/17;4/12/17
$3,006.04,;1/12/17;1/12/17
$3,006.09,;30/11/17;30/11/17
$3,003.94,;29/11/17;29/11/17
$2,986.84,;28/11/17;28/11/17
$2,976.39,;25/11/17;27/11/17
$2,982.73,;23/11/17;24/11/17
$3,001.07,;22/11/17;22/11/17
$3,011.32,;21/11/17;21/11/17
$3,003.19,;18/11/17;20/11/17
$3,015.79,;17/11/17;17/11/17
$3,023.88,;16/11/17;16/11/17
$3,016.70,;15/11/17;15/11/17
$3,004.88,;11/11/17;14/11/17
$3,015.52,;10/11/17;10/11/17
$3,017.78,;9/11/17;9/11/17
$3,026.94,;8/11/17;8/11/17
$3,055.57,;4/11/17;7/11/17
$3,054.38,;3/11/17;3/11/17
$3,038.56,;2/11/17;2/11/17
$3,039.19,;1/11/17;1/11/17
$3,011.44,;31/10/17;31/10/17
$3,009.85,;28/10/17;30/10/17
$3,008.80,;27/10/17;27/10/17
$2,989.39,;26/10/17;26/10/17
$2,971.36,;25/10/17;25/10/17
$2,947.69,;24/10/17;24/10/17
$2,936.66,;21/10/17;23/10/17
$2,921.92,;20/10/17;20/10/17
$2,935.66,;19/10/17;19/10/17
$2,944.27,;18/10/17;18/10/17
$2,932.05,;14/10/17;17/10/17
$2,949.69,;13/10/17;13/10/17
$2,953.77,;12/10/17;12/10/17
$2,947.06,;11/10/17;11/10/17
$2,942.19,;7/10/17;10/10/17
$2,926.82,;6/10/17;6/10/17
$2,945.59,;5/10/17;5/10/17
$2,953.81,;4/10/17;4/10/17
$2,949.33,;3/10/17;3/10/17
$2,936.67,;30/09/17;2/10/17
$2,941.07,;29/09/17;29/09/17
$2,940.66,;28/09/17;28/09/17
$2,930.70,;27/09/17;27/09/17
$2,924.57,;26/09/17;26/09/17
$2,900.73,;23/09/17;25/09/17
$2,913.96,;22/09/17;22/09/17
$2,893.18,;21/09/17;21/09/17
$2,904.60,;20/09/17;20/09/17
$2,906.06,;19/09/17;19/09/17
$2,897.83,;16/09/17;18/09/17
$2,905.98,;15/09/17;15/09/17
$2,909.52,;14/09/17;14/09/17
$2,923.03,;13/09/17;13/09/17
$2,916.10,;12/09/17;12/09/17
$2,909.15,;9/09/17;11/09/17
$2,907.96,;8/09/17;8/09/17
$2,919.50,;7/09/17;7/09/17
$2,923.49,;6/09/17;6/09/17
$2,936.07,;2/09/17;5/09/17
$2,948.09,;1/09/17;1/09/17
$2,937.09,;31/08/17;31/08/17
$2,940.35,;30/08/17;30/08/17
$2,934.23,;29/08/17;29/08/17
$2,933.96,;26/08/17;28/08/17
$2,972.98,;25/08/17;25/08/17
$2,986.88,;24/08/17;24/08/17
$2,986.83,;23/08/17;23/08/17
$2,994.39,;19/08/17;22/08/17
$2,980.03,;18/08/17;18/08/17
$2,967.32,;17/08/17;17/08/17
$2,974.70,;16/08/17;16/08/17
$2,966.54,;15/08/17;15/08/17
$2,984.99,;12/08/17;14/08/17
$2,994.85,;11/08/17;11/08/17
$3,011.14,;10/08/17;10/08/17
$2,994.62,;9/08/17;9/08/17
$2,974.39,;5/08/17;8/08/17
$2,954.54,;4/08/17;4/08/17
$2,964.66,;3/08/17;3/08/17
$2,973.03,;2/08/17;2/08/17
$2,997.59,;1/08/17;1/08/17
$2,995.23,;29/07/17;31/07/17
$3,002.94,;28/07/17;28/07/17
$3,026.22,;27/07/17;27/07/17
$3,026.55,;26/07/17;26/07/17
$3,023.67,;25/07/17;25/07/17
$3,010.77,;22/07/17;24/07/17
$3,010.00,;20/07/17;21/07/17
$3,013.26,;19/07/17;19/07/17
$3,030.60,;18/07/17;18/07/17
$3,019.56,;15/07/17;17/07/17
$3,043.60,;14/07/17;14/07/17
$3,052.30,;13/07/17;13/07/17
$3,067.73,;12/07/17;12/07/17
$3,067.33,;11/07/17;11/07/17
$3,092.65,;8/07/17;10/07/17
$3,084.19,;7/07/17;7/07/17
$3,068.93,;6/07/17;6/07/17
$3,050.43,;1/07/17;5/07/17
$3,038.26,;30/06/17;30/06/17
$3,023.64,;29/06/17;29/06/17
$3,025.28,;28/06/17;28/06/17
$3,010.68,;24/06/17;27/06/17
$3,035.83,;23/06/17;23/06/17
$3,053.90,;22/06/17;22/06/17
$3,029.53,;21/06/17;21/06/17
$2,961.68,;17/06/17;20/06/17
$2,953.83,;16/06/17;16/06/17
$2,924.75,;15/06/17;15/06/17
$2,933.13,;14/06/17;14/06/17
$2,929.20,;13/06/17;13/06/17
$2,919.58,;10/06/17;12/06/17
$2,919.82,;9/06/17;9/06/17
$2,907.10,;8/06/17;8/06/17
$2,893.76,;7/06/17;7/06/17
$2,895.85,;6/06/17;6/06/17
$2,894.72,;3/06/17;5/06/17
$2,895.73,;2/06/17;2/06/17
$2,921.00,;1/06/17;1/06/17
$2,920.42,;31/05/17;31/05/17
$2,913.47,;27/05/17;30/05/17
$2,911.66,;26/05/17;26/05/17
$2,905.29,;25/05/17;25/05/17
$2,904.61,;24/05/17;24/05/17
$2,895.12,;23/05/17;23/05/17
$2,889.45,;20/05/17;22/05/17
$2,932.16,;19/05/17;19/05/17
$2,893.40,;18/05/17;18/05/17
$2,873.22,;17/05/17;17/05/17
$2,883.87,;16/05/17;16/05/17
$2,918.69,;13/05/17;15/05/17
$2,933.92,;12/05/17;12/05/17
$2,949.35,;11/05/17;11/05/17
$2,967.24,;10/05/17;10/05/17
$2,959.26,;9/05/17;9/05/17
$2,961.78,;6/05/17;8/05/17
$2,967.44,;5/05/17;5/05/17
$2,930.17,;4/05/17;4/05/17
$2,945.53,;3/05/17;3/05/17
$2,947.85,;29/04/17;2/05/17
$2,944.31,;28/04/17;28/04/17
$2,928.07,;27/04/17;27/04/17
$2,899.13,;26/04/17;26/04/17
$2,871.98,;25/04/17;25/04/17
$2,868.89,;22/04/17;24/04/17
$2,863.39,;21/04/17;21/04/17
$2,856.48,;20/04/17;20/04/17
$2,837.90,;19/04/17;19/04/17
$2,854.89,;18/04/17;18/04/17
$2,872.55,;13/04/17;17/04/17
$2,868.60,;12/04/17;12/04/17
$2,867.13,;11/04/17;11/04/17
$2,858.00,;8/04/17;10/04/17
$2,853.10,;7/04/17;7/04/17
$2,857.65,;6/04/17;6/04/17
$2,869.32,;5/04/17;5/04/17
$2,866.87,;4/04/17;4/04/17
$2,885.57,;1/04/17;3/04/17
$2,880.24,;31/03/17;31/03/17
$2,888.02,;30/03/17;30/03/17
$2,911.99,;29/03/17;29/03/17
$2,913.48,;28/03/17;28/03/17
$2,899.94,;25/03/17;27/03/17
$2,921.25,;24/03/17;24/03/17
$2,936.82,;23/03/17;23/03/17
$2,904.87,;22/03/17;22/03/17
$2,912.53,;18/03/17;21/03/17
$2,923.96,;17/03/17;17/03/17
$2,972.61,;16/03/17;16/03/17
$2,997.73,;15/03/17;15/03/17
$2,987.93,;14/03/17;14/03/17
$2,980.83,;11/03/17;13/03/17
$3,004.43,;10/03/17;10/03/17
$2,987.88,;9/03/17;9/03/17
$2,972.44,;8/03/17;8/03/17
$2,966.67,;7/03/17;7/03/17
$2,977.43,;4/03/17;6/03/17
$2,960.91,;3/03/17;3/03/17
$2,935.75,;2/03/17;2/03/17
$2,919.17,;1/03/17;1/03/17
$2,896.27,;28/02/17;28/02/17
$2,886.52,;25/02/17;27/02/17
$2,871.67,;24/02/17;24/02/17
$2,893.55,;23/02/17;23/02/17
$2,902.68,;22/02/17;22/02/17
$2,902.81,;18/02/17;21/02/17
$2,875.68,;17/02/17;17/02/17
$2,876.03,;16/02/17;16/02/17
$2,867.64,;15/02/17;15/02/17
$2,875.46,;14/02/17;14/02/17
$2,851.98,;11/02/17;13/02/17
$2,862.63,;10/02/17;10/02/17
$2,879.49,;9/02/17;9/02/17
$2,867.76,;8/02/17;8/02/17
$2,853.99,;7/02/17;7/02/17
$2,855.80,;4/02/17;6/02/17
$2,882.20,;3/02/17;3/02/17
$2,906.78,;2/02/17;2/02/17
$2,921.90,;1/02/17;1/02/17
$2,936.66,;31/01/17;31/01/17
$2,930.17,;28/01/17;30/01/17
$2,936.72,;27/01/17;27/01/17
$2,927.53,;26/01/17;26/01/17
$2,932.01,;25/01/17;25/01/17
$2,908.53,;24/01/17;24/01/17
$2,927.91,;21/01/17;23/01/17
$2,938.24,;20/01/17;20/01/17
$2,934.58,;19/01/17;19/01/17
$2,924.77,;18/01/17;18/01/17
$2,935.96,;14/01/17;17/01/17
$2,930.19,;13/01/17;13/01/17
$2,980.80,;12/01/17;12/01/17
$2,949.60,;11/01/17;11/01/17
$2,919.01,;7/01/17;10/01/17
$2,941.08,;6/01/17;6/01/17
$2,965.36,;5/01/17;5/01/17
$2,981.06,;4/01/17;4/01/17
$3,000.71,;30/12/16;3/01/17
$3,019.72,;29/12/16;29/12/16
$2,992.81,;28/12/16;28/12/16
$2,996.60,;24/12/16;27/12/16
$2,996.03,;23/12/16;23/12/16
$2,989.14,;22/12/16;22/12/16
$2,988.06,;21/12/16;21/12/16
$3,019.44,;20/12/16;20/12/16
$2,997.20,;17/12/16;19/12/16
$3,000.47,;16/12/16;16/12/16
$2,964.56,;15/12/16;15/12/16
$2,982.29,;14/12/16;14/12/16
$2,984.02,;13/12/16;13/12/16
$3,002.80,;10/12/16;12/12/16
$2,989.71,;8/12/16;9/12/16
$3,015.47,;7/12/16;7/12/16
$3,049.47,;6/12/16;6/12/16
$3,061.04,;3/12/16;5/12/16
$3,068.34,;2/12/16;2/12/16
$3,085.60,;1/12/16;1/12/16
$3,165.09,;30/11/16;30/11/16
$3,142.20,;29/11/16;29/11/16
$3,170.64,;26/11/16;28/11/16
$3,187.97,;24/11/16;25/11/16
$3,139.76,;23/11/16;23/11/16
$3,144.72,;22/11/16;22/11/16
$3,163.49,;19/11/16;21/11/16
$3,135.65,;18/11/16;18/11/16
$3,131.11,;17/11/16;17/11/16
$3,124.91,;16/11/16;16/11/16
$3,100.12,;11/11/16;15/11/16
$3,012.12,;10/11/16;10/11/16
$2,984.78,;9/11/16;9/11/16
$3,070.40,;5/11/16;8/11/16
$3,071.12,;4/11/16;4/11/16
$3,070.54,;3/11/16;3/11/16
$3,026.68,;2/11/16;2/11/16
$2,998.55,;1/11/16;1/11/16
$2,967.66,;29/10/16;31/10/16
$2,966.61,;28/10/16;28/10/16
$2,965.18,;27/10/16;27/10/16
$2,941.34,;26/10/16;26/10/16
$2,929.83,;25/10/16;25/10/16
$2,944.25,;22/10/16;24/10/16
$2,934.03,;21/10/16;21/10/16
$2,914.15,;20/10/16;20/10/16
$2,905.93,;19/10/16;19/10/16
$2,915.67,;15/10/16;18/10/16
$2,930.78,;14/10/16;14/10/16
$2,919.18,;13/10/16;13/10/16
$2,919.51,;12/10/16;12/10/16
$2,913.96,;8/10/16;11/10/16
$2,924.80,;7/10/16;7/10/16
$2,964.93,;6/10/16;6/10/16
$2,963.06,;5/10/16;5/10/16
$2,937.23,;4/10/16;4/10/16
$2,880.08,;1/10/16;3/10/16
$2,879.95,;30/09/16;30/09/16
$2,914.11,;29/09/16;29/09/16
$2,921.99,;28/09/16;28/09/16
$2,917.58,;27/09/16;27/09/16
$2,917.95,;24/09/16;26/09/16
$2,862.52,;23/09/16;23/09/16
$2,894.15,;22/09/16;22/09/16
$2,911.11,;21/09/16;21/09/16
$2,928.18,;20/09/16;20/09/16
$2,956.58,;17/09/16;19/09/16
$2,938.50,;16/09/16;16/09/16
$2,972.65,;15/09/16;15/09/16
$2,976.19,;14/09/16;14/09/16
$2,942.29,;13/09/16;13/09/16
$2,899.29,;10/09/16;12/09/16
$2,846.13,;9/09/16;9/09/16
$2,840.38,;8/09/16;8/09/16
$2,887.64,;7/09/16;7/09/16
$2,957.56,;3/09/16;6/09/16
$2,986.36,;2/09/16;2/09/16
$2,956.53,;1/09/16;1/09/16
$2,933.82,;31/08/16;31/08/16
$2,924.29,;30/08/16;30/08/16
$2,882.69,;27/08/16;29/08/16
$2,915.67,;26/08/16;26/08/16
$2,938.28,;25/08/16;25/08/16
$2,909.10,;24/08/16;24/08/16
$2,883.89,;23/08/16;23/08/16
$2,867.37,;20/08/16;22/08/16
$2,884.02,;19/08/16;19/08/16
$2,918.07,;18/08/16;18/08/16
$2,905.30,;17/08/16;17/08/16
$2,908.67,;13/08/16;16/08/16
$2,911.26,;12/08/16;12/08/16
$2,954.90,;11/08/16;11/08/16
$2,974.31,;10/08/16;10/08/16
$2,992.50,;9/08/16;9/08/16
$3,052.80,;6/08/16;8/08/16
$3,079.83,;5/08/16;5/08/16
$3,110.43,;4/08/16;4/08/16
$3,084.81,;3/08/16;3/08/16
$3,090.28,;2/08/16;2/08/16
$3,081.75,;30/07/16;1/08/16
$3,091.78,;29/07/16;29/07/16
$3,073.52,;28/07/16;28/07/16
$3,055.15,;27/07/16;27/07/16
$2,997.25,;26/07/16;26/07/16
$2,942.65,;23/07/16;25/07/16
$2,928.67,;22/07/16;22/07/16
$2,931.08,;20/07/16;21/07/16
$2,928.30,;19/07/16;19/07/16
$2,923.46,;16/07/16;18/07/16
$2,923.07,;15/07/16;15/07/16
$2,936.53,;14/07/16;14/07/16
$2,911.91,;13/07/16;13/07/16
$2,929.81,;12/07/16;12/07/16
$2,952.64,;9/07/16;11/07/16
$2,986.49,;8/07/16;8/07/16
$3,003.20,;7/07/16;7/07/16
$2,966.87,;6/07/16;6/07/16
$2,914.38,;2/07/16;5/07/16
$2,919.01,;1/07/16;1/07/16
$2,916.15,;30/06/16;30/06/16
$3,005.18,;29/06/16;29/06/16
$3,022.78,;28/06/16;28/06/16
$2,972.92,;25/06/16;27/06/16
$2,897.53,;24/06/16;24/06/16
$2,944.06,;23/06/16;23/06/16
$2,976.29,;22/06/16;22/06/16
$2,972.97,;21/06/16;21/06/16
$3,010.91,;18/06/16;20/06/16
$3,019.12,;17/06/16;17/06/16
$2,989.56,;16/06/16;16/06/16
$3,003.28,;15/06/16;15/06/16
$2,990.35,;14/06/16;14/06/16
$2,969.83,;11/06/16;13/06/16
$2,942.13,;10/06/16;10/06/16
$2,905.23,;9/06/16;9/06/16
$2,950.95,;8/06/16;8/06/16
$3,017.71,;4/06/16;7/06/16
$3,110.88,;3/06/16;3/06/16
$3,117.83,;2/06/16;2/06/16
$3,089.65,;1/06/16;1/06/16
$3,069.17,;28/05/16;31/05/16
$3,054.60,;27/05/16;27/05/16
$3,061.89,;26/05/16;26/05/16
$3,059.92,;25/05/16;25/05/16
$3,058.25,;24/05/16;24/05/16
$3,047.99,;21/05/16;23/05/16
$3,056.06,;20/05/16;20/05/16
$3,031.48,;19/05/16;19/05/16
$3,020.89,;18/05/16;18/05/16
$3,007.74,;17/05/16;17/05/16
$2,983.82,;14/05/16;16/05/16
$2,934.88,;13/05/16;13/05/16
$2,956.82,;12/05/16;12/05/16
$2,979.54,;11/05/16;11/05/16
$2,969.62,;7/05/16;10/05/16
$2,952.37,;6/05/16;6/05/16
$2,942.16,;5/05/16;5/05/16
$2,895.51,;4/05/16;4/05/16
$2,833.78,;3/05/16;3/05/16
$2,851.14,;30/04/16;2/05/16
$2,885.72,;29/04/16;29/04/16
$2,943.23,;28/04/16;28/04/16
$2,945.37,;27/04/16;27/04/16
$2,962.08,;26/04/16;26/04/16
$2,939.70,;23/04/16;25/04/16
$2,928.70,;22/04/16;22/04/16
$2,899.92,;21/04/16;21/04/16
$2,912.20,;20/04/16;20/04/16
$2,995.86,;19/04/16;19/04/16
$2,999.38,;16/04/16;18/04/16
$3,000.78,;15/04/16;15/04/16
$3,006.35,;14/04/16;14/04/16
$3,036.57,;13/04/16;13/04/16
$3,057.96,;12/04/16;12/04/16
$3,076.29,;9/04/16;11/04/16
$3,109.60,;8/04/16;8/04/16
$3,081.39,;7/04/16;7/04/16
$3,085.82,;6/04/16;6/04/16
$3,066.94,;5/04/16;5/04/16
$3,038.48,;2/04/16;4/04/16
$3,000.63,;1/04/16;1/04/16
$3,022.35,;31/03/16;31/03/16
$3,052.33,;30/03/16;30/03/16
$3,047.85,;29/03/16;29/03/16
$3,058.80,;24/03/16;28/03/16
$3,050.31,;23/03/16;23/03/16
$3,065.79,;19/03/16;22/03/16
$3,087.39,;18/03/16;18/03/16
$3,155.90,;17/03/16;17/03/16
$3,175.88,;16/03/16;16/03/16
$3,175.95,;15/03/16;15/03/16
$3,164.12,;12/03/16;14/03/16
$3,204.27,;11/03/16;11/03/16
$3,192.49,;10/03/16;10/03/16
$3,155.90,;9/03/16;9/03/16
$3,135.28,;8/03/16;8/03/16
$3,163.25,;5/03/16;7/03/16
$3,203.03,;4/03/16;4/03/16
$3,205.60,;3/03/16;3/03/16
$3,268.86,;2/03/16;2/03/16
$3,319.80,;1/03/16;1/03/16
$3,306.00,;27/02/16;29/02/16
$3,310.16,;26/02/16;26/02/16
$3,341.69,;25/02/16;25/02/16
$3,322.54,;24/02/16;24/02/16
$3,314.24,;23/02/16;23/02/16
$3,356.78,;20/02/16;22/02/16
$3,338.03,;19/02/16;19/02/16
$3,391.87,;18/02/16;18/02/16
$3,406.87,;17/02/16;17/02/16
$3,409.82,;13/02/16;16/02/16
$3,434.89,;12/02/16;12/02/16
$3,385.65,;11/02/16;11/02/16
$3,391.93,;10/02/16;10/02/16
$3,367.02,;9/02/16;9/02/16
$3,320.49,;6/02/16;8/02/16
$3,315.75,;5/02/16;5/02/16
$3,382.20,;4/02/16;4/02/16
$3,387.69,;3/02/16;3/02/16
$3,326.82,;2/02/16;2/02/16
$3,287.31,;30/01/16;1/02/16
$3,302.92,;29/01/16;29/01/16
$3,366.63,;28/01/16;28/01/16
$3,375.80,;27/01/16;27/01/16
$3,362.38,;26/01/16;26/01/16
$3,281.74,;23/01/16;25/01/16
$3,368.49,;22/01/16;22/01/16
$3,357.67,;21/01/16;21/01/16
$3,297.46,;20/01/16;20/01/16
$3,293.94,;16/01/16;19/01/16
$3,240.71,;15/01/16;15/01/16
$3,235.45,;14/01/16;14/01/16
$3,246.51,;13/01/16;13/01/16
$3,268.37,;9/01/16;12/01/16
$3,287.28,;8/01/16;8/01/16
$3,250.69,;7/01/16;7/01/16
$3,203.86,;6/01/16;6/01/16
$3,213.24,;5/01/16;5/01/16
$3,149.47,;31/12/15;4/01/16
$3,155.22,;30/12/15;30/12/15
$3,180.87,;29/12/15;29/12/15
$3,172.03,;25/12/15;28/12/15
$3,255.19,;24/12/15;24/12/15
$3,307.24,;23/12/15;23/12/15
$3,332.70,;22/12/15;22/12/15
$3,337.68,;19/12/15;21/12/15
$3,333.37,;18/12/15;18/12/15
$3,317.72,;17/12/15;17/12/15
$3,328.08,;16/12/15;16/12/15
$3,356.00,;15/12/15;15/12/15
$3,299.36,;12/12/15;14/12/15
$3,259.56,;11/12/15;11/12/15
$3,294.02,;10/12/15;10/12/15
$3,287.03,;8/12/15;9/12/15
$3,179.22,;5/12/15;7/12/15
$3,149.12,;4/12/15;4/12/15
$3,166.67,;3/12/15;3/12/15
$3,131.95,;2/12/15;2/12/15
$3,142.11,;1/12/15;1/12/15
$3,101.10,;28/11/15;30/11/15
$3,099.75,;26/11/15;27/11/15
$3,074.35,;25/11/15;25/11/15
$3,086.82,;24/11/15;24/11/15
$3,047.31,;21/11/15;23/11/15
$3,082.04,;20/11/15;20/11/15
$3,108.70,;19/11/15;19/11/15
$3,069.24,;18/11/15;18/11/15
$3,073.23,;14/11/15;17/11/15
$3,009.36,;13/11/15;13/11/15
$2,935.86,;11/11/15;12/11/15
$2,921.15,;10/11/15;10/11/15
$2,896.19,;7/11/15;9/11/15
$2,853.32,;6/11/15;6/11/15
$2,819.63,;5/11/15;5/11/15
$2,825.25,;4/11/15;4/11/15
$2,897.83,;31/10/15;3/11/15
$2,921.32,;30/10/15;30/10/15
$2,926.75,;29/10/15;29/10/15
$2,950.87,;28/10/15;28/10/15
$2,918.21,;27/10/15;27/10/15
$2,912.08,;24/10/15;26/10/15
$2,925.36,;23/10/15;23/10/15
$2,966.68,;22/10/15;22/10/15
$2,929.19,;21/10/15;21/10/15
$2,912.99,;20/10/15;20/10/15
$2,879.89,;17/10/15;19/10/15
$2,908.87,;16/10/15;16/10/15
$2,928.69,;15/10/15;15/10/15
$2,910.70,;14/10/15;14/10/15
$2,855.74,;10/10/15;13/10/15
$2,887.21,;9/10/15;9/10/15
$2,891.91,;8/10/15;8/10/15
$2,913.74,;7/10/15;7/10/15
$2,971.15,;6/10/15;6/10/15
$3,034.90,;3/10/15;5/10/15
$3,061.85,;2/10/15;2/10/15
$3,086.75,;1/10/15;1/10/15
$3,121.94,;30/09/15;30/09/15
$3,096.98,;29/09/15;29/09/15
$3,080.44,;26/09/15;28/09/15
$3,135.17,;25/09/15;25/09/15
$3,099.28,;24/09/15;24/09/15
$3,065.74,;23/09/15;23/09/15
$3,001.68,;22/09/15;22/09/15
$2,984.90,;19/09/15;21/09/15
$2,975.13,;18/09/15;18/09/15
$2,989.04,;17/09/15;17/09/15
$3,025.28,;16/09/15;16/09/15
$3,032.59,;15/09/15;15/09/15
$3,012.96,;12/09/15;14/09/15
$3,080.57,;11/09/15;11/09/15
$3,105.40,;10/09/15;10/09/15
$3,138.46,;9/09/15;9/09/15
$3,113.55,;5/09/15;8/09/15
$3,119.93,;4/09/15;4/09/15
$3,142.34,;3/09/15;3/09/15
$3,093.64,;2/09/15;2/09/15
$3,079.97,;1/09/15;1/09/15
$3,101.10,;29/08/15;31/08/15
$3,195.47,;28/08/15;28/08/15
$3,238.51,;27/08/15;27/08/15
$3,194.24,;26/08/15;26/08/15
$3,208.37,;25/08/15;25/08/15
$3,102.60,;22/08/15;24/08/15
$3,053.65,;21/08/15;21/08/15
$3,027.20,;20/08/15;20/08/15
$3,003.35,;19/08/15;19/08/15
$2,983.12,;15/08/15;18/08/15
$2,966.12,;14/08/15;14/08/15
$2,937.63,;13/08/15;13/08/15
$2,943.97,;12/08/15;12/08/15
$2,913.45,;11/08/15;11/08/15
$2,955.31,;7/08/15;10/08/15
$2,945.97,;6/08/15;6/08/15
$2,906.95,;5/08/15;5/08/15
$2,902.98,;4/08/15;4/08/15
$2,862.51,;1/08/15;3/08/15
$2,866.04,;31/07/15;31/07/15
$2,855.32,;30/07/15;30/07/15
$2,855.44,;29/07/15;29/07/15
$2,854.13,;28/07/15;28/07/15
$2,857.46,;25/07/15;27/07/15
$2,807.36,;24/07/15;24/07/15
$2,790.26,;23/07/15;23/07/15
$2,765.10,;22/07/15;22/07/15
$2,751.88,;18/07/15;21/07/15
$2,727.23,;17/07/15;17/07/15
$2,713.04,;16/07/15;16/07/15
$2,688.20,;15/07/15;15/07/15
$2,693.54,;14/07/15;14/07/15
$2,667.37,;11/07/15;13/07/15
$2,670.79,;10/07/15;10/07/15
$2,690.79,;9/07/15;9/07/15
$2,690.15,;8/07/15;8/07/15
$2,665.41,;7/07/15;7/07/15
$2,642.97,;4/07/15;6/07/15
$2,623.91,;3/07/15;3/07/15
$2,626.80,;2/07/15;2/07/15
$2,598.68,;1/07/15;1/07/15
$2,585.11,;27/06/15;30/06/15
$2,556.21,;26/06/15;26/06/15
$2,566.66,;25/06/15;25/06/15
$2,550.74,;24/06/15;24/06/15
$2,537.68,;23/06/15;23/06/15
$2,548.20,;20/06/15;22/06/15
$2,528.85,;19/06/15;19/06/15
$2,550.43,;18/06/15;18/06/15
$2,531.72,;17/06/15;17/06/15
